“X”,“Y”,"id","lon","lat","point","polygon","voltage","power_type","substation","osm_id","osm_www","frequency","name","ref","operator","dbahn","status","visible",“field_18”
"9.11221143167468","53.9554462185286","1690","9.11221143167468","53.9554462185286","0101000020E6100000698FDAC67339224067D5CA0F4CFA4A40","0103000020E61000000100000006000000A226FF64203922404B0F90E250FA4A40A56D7E337E39224049A6EC6A58FA4A407D15BD7BC53922408293E93747FA4A40E19128AB88392240997CB4FD41FA4A40A83B32996C392240BE6CB4923FFA4A40A226FF64203922404B0F90E250FA4A40","110000","substation","distribution","w179162748","http://www.osm.org/way/179162748","NA","Umspannwerk Dingen","NA","EON_Netz","no","1","1",
"7.97615042667922","51.4908114003162","2355","7.97615042667922","51.4908114003162","0101000020E610000035413AFA93E71F40536E70E8D2BE4940","0103000020E6100000010000000E000000905901D9D6E61F406B611C77D9BE49404DF53928CEE71F40FFB945D5E0BE49408B6B6C5645E81F404EA63649CABE4940C9AB6A7436E81F40405E4270C8BE49408EE684B10FE81F4019C452CFC7BE4940FD9E9A7F07E81F4009177CA0CABE4940414E95BCFCE71F40E20FAA77CABE4940A897872104E81F40FE4AA69CC7BE494076209033AEE71F40FFA1F248C6BE4940759085CA76E71F4099496A4FC8BE4940F526BB2063E71F40427B005ACCBE4940465B057359E71F400E5D5018CCBE4940141066DD24E71F40927B8481CABE4940905901D9D6E61F406B611C77D9BE4940","110000","station","NA","w180724895","http://www.osm.org/way/180724895","NA","Station Ense","NA","RWE","no","2","1",
"14.6491840959221","50.9702746777215","2066","14.6491840959221","50.9702746777215","0101000020E610000024239ADB614C2D40B579ECF5317C4940","0103000020E6100000010000000A0000001B8BFD9AE04B2D4037EFED15337C4940070B68292C4C2D40F0220A493C7C4940DB002DD6784C2D40A62233A0457C494091BAB829D94C2D4007AE4634317C494004B05732D74C2D40E0E8BFE92E7C49405A65FCB5604C2D4004A06186207C494001BDA09E474C2D40AC735A531F7C4940CF8D2E650D4C2D40095008FB2B7C49407D975957E84B2D4001619109317C49401B8BFD9AE04B2D4037EFED15337C4940","110000;20000","substation","distribution","w201209025","http://www.osm.org/way/201209025","50","Umspannwerk Neueibau","NA","ENSO","no","1","1",
"7.9720046696272","51.6803346264342","2357","7.9720046696272","51.6803346264342","0101000020E6100000B06E2E3155E31F40886F7D3415D74940","0103000020E610000001000000050000005C25F8B2F3E21F40F9D8F4AF1DD749403C95F61E39E31F402FA1985A20D749408CB1E1AEB6E31F402DB562B90CD74940AF41E34271E31F4089FF440E0AD749405C25F8B2F3E21F40F9D8F4AF1DD74940","110000","sub_station","NA","w202580127","http://www.osm.org/way/202580127","50","NA","NA","NA","no","1","1",
"11.9669535121821","52.5687774255968","1276","11.9669535121821","52.5687774255968","0101000020E61000003426DF8714EF27401ED2DCB2CD484A40","0103000020E6100000010000000700000063A5A45DC0EE274047AC11D2CF484A404D3B21BC29EF2740FA5859D8D9484A40F6DF452358EF274050698A44CF484A402BE393BC56EF274018264E46CD484A405C77E53651EF2740DCA5A975C5484A40761EF212EEEE27401FED3864C4484A4063A5A45DC0EE274047AC11D2CF484A40","110000","substation","distribution","w202617274","http://www.osm.org/way/202617274","50","NA","NA","NA","no","1","1",
"9.17680398209272","48.820910968354","3450","9.17680398209272","48.820910968354","0101000020E610000019C8310D865A22400F01519C13694840","0103000020E61000000100000012000000457A10C2F25922407C92D3FB37694840FA65028C575A224075CDF8972C6948406C608FF0875A2240B7C4C9222569484046D186D4915A22408B652EAA2169484036736095A05A2240E69F48DF2269484006AC9550EA5A2240492307890869484081104B54DF5A22408011B56503694840C9FCCECBDA5A2240D98BCBC9FC684840D5012598D85A2240BDC068B0F8684840BC451940D55A22407DBD8C5DF8684840EF8BD7E7D05A2240F9DADFF2F7684840D3CFB1B3DA5A22403BC53CB3F168484052F1F6A8D25A224062A9C1EBEF684840A657C14DC05A2240EA542EC0F3684840179BF328BD5A22405441526DF3684840DDA8AF27B75A2240D7673EB5F26848405BE62179A95A22405D5663A5F3684840457A10C2F25922407C92D3FB37694840","110000","substation","NA","w232482056","http://www.osm.org/way/232482056","NA","Umspannwerk Seewiesen","NA","NA","no","2","1",
"11.1086537453127","50.6591713346542","1622","11.1086537453127","50.6591713346542","0101000020E61000005E69B576A13726407166EEB95F544940","0103000020E61000000100000007000000297D62F761372640713E045658544940194699466637264088E540DF64544940DEF483228337264054DE44E2675449405074059AE23726409126BE00665449400B613E70E4372640716377095F544940AF866F74CD3726400970AF4758544940297D62F761372640713E045658544940","110000","substation","NA","w23302636","http://www.osm.org/way/23302636","NA","Umspannwerk Königsee","NA","NA","no","2","1",
"7.43575154169747","51.5182788145984","2518","7.43575154169747","51.5182788145984","0101000020E6100000BB16F3A635BE1D407574CFF556C24940","0103000020E6100000010000000B0000001C4F1D4892BD1D406B5C61974DC24940B3F9DAEEDEBD1D40B8F974615EC2494078490E8411BE1D408D6785B563C24940442A938E18BE1D40FF1CE67364C2494036629FB234BE1D40F6FCB65967C24940711A222DF8BE1D40397D0AD05BC24940463E7FB6C7BE1D40FEA5A13D57C249409BF9315834BE1D407481D55949C249408CD9A7A700BE1D401CD3350047C24940AB8AD161E1BD1D40B3F10FC748C249401C4F1D4892BD1D406B5C61974DC24940","110000","station","NA","w24850805","http://www.osm.org/way/24850805","50","Union","NA","RWE","no","1","1",
"6.92284962989552","51.3318241205893","2529","6.92284962989552","51.3318241205893","0101000020E6100000981B4E7EFFB01B4040FA783679AA4940","0103000020E610000001000000060000007568E79A4EB01B400DC1505480AA49402FF8DC6393B11B407BC6D6F982AA49405C70DA37A7B11B409A3D8F1683AA49409B6D4E6BA8B11B4090EAFC5172AA4940425F985166B01B40C98891C06EAA49407568E79A4EB01B400DC1505480AA4940","110000","station","NA","w25057327","http://www.osm.org/way/25057327","NA","Station Hösel","NA","RWE","no","2","1",
"10.7698948803906","52.1528671844281","3011","10.7698948803906","52.1528671844281","0101000020E6100000744569A92F8A254005E0E22691134A40","0103000020E61000000100000009000000117DA4CFF7892540BC206B3789134A407B409C3B128A254081823B4696134A4087A9B1861F8A2540A859BBAC95134A4080C5B7982D8A25403CB418559D134A40F398014B5B8A2540E5A7753A9B134A402E0036AD558A2540A295D06597134A4027438CDF5F8A254014E729CE96134A401223DBE43F8A2540216AD23286134A40117DA4CFF7892540BC206B3789134A40","110000","substation","distribution","w285389487","http://www.osm.org/way/285389487","50","Schöppenstedt","NA","EON_Netz","no","1","1",
"7.83594100104577","48.109986851425","3472","7.83594100104577","48.109986851425","0101000020E61000001F82F3EA00581F4027EE940C140E4840","0103000020E6100000010000000B000000336777516A571F409BD4F4630A0E48402A886BBFAA571F402ACC6925120E48402FC0130C78571F40DEF08755150E484010C01CE1F4571F407678D2DA230E48404C2143250C581F40297AE6A7220E48406336EB371D581F400D02C0DF220E484042F36922AA581F40013324A6160E48402201F6013B581F40E984F7150A0E48406C6284B61D581F405BDFD9910B0E48404FA771D6DE571F40D46FEDD6030E4840336777516A571F409BD4F4630A0E4840","110000","station","NA","w29313512","http://www.osm.org/way/29313512","NA","Umspannwerk Teningen","NA","EnBW","no","2","1",
"10.4083768661149","53.2706891486707","3143","10.4083768661149","53.2706891486707","0101000020E610000036D0C8C516D124401A7628F1A5A24A40","0103000020E6100000010000000700000009963A5BEAD02440EE1FCD01B5A24A40D497E78B17D1244070524A01B7A24A404D1DC5B532D12440BE48234CA6A24A403EA364AC4DD12440B3DC135E98A24A408AEEE09012D12440C8E1C71C96A24A40F216ABCFF3D02440B8E6AEF4A6A24A4009963A5BEAD02440EE1FCD01B5A24A40","110000","substation","distribution","w36907116","http://www.osm.org/way/36907116","50","Lüneburg Nord","NA","EON_Avacon","no","1","1",
"14.4757090221542","51.7930724346008","2078","14.4757090221542","51.7930724346008","0101000020E6100000F920092290F32C4014FCC46583E54940","0103000020E6100000010000000600000071B06C5B70F32C4090073EB383E54940981D202196F32C40E0581C3E88E54940018861F6AFF32C401783D51A83E54940DB1AAE308AF32C40D328F68F7EE5494075AA6BAB86F32C407DE3AE387FE5494071B06C5B70F32C4090073EB383E54940","110000","substation","transmission","w42874788","http://www.osm.org/way/42874788","50","Cottbus/Halde","NA","envia","no","1","1",
